record_id,redcap_survey_identifier,questionrio_sobre_a_percepo_dos_estudantes_de_medi_timestamp,c_informado,instit,codigo,data_inq,idade,genero,estado_civil,tem_filhos,depend,local_nasc,esecund_local,resid_actual,cquem_vive,trab_estuda,ano_acad,tipo_renda,prof_pai,prof_mae,nescola_mae,nescola_pai,parente_saude,psaude_especif,fproximo,fdistante,aproximo,cquem_vivo,colega_curso,vizinhos,docente,padmin,ong_volunt,rsociais,outras_p,ajudar,cont_pessoas,salva_vidas,aj_dcovid19,vontade,dom,import_medico,influencia,med_resp,doent_fam,dif_pessoais,adq_conhec,curiosid,fac_emprego,renum,sem_opcao,sprg_ensino,qual_docentes,qual_sist_apoio,acess_mater,acess_doentes,tut_plataformas___1,tut_plataformas___2,tut_plataformas___3,tut_plataformas___4,tut_plataformas___5,tut_plataformas___6,metod_online___1,metod_online___2,metod_online___3,metod_online___4,metod_online___5,metod_online___6,disp_tarefas,retor_desemp,resp_pront,aulas_online,exame_form,sobrecarga,tip_sobrecarga,tipo_form,loc_trab_pform,outros_locais,salario_min,especializacao,outra_especial,sector,sist_hibr,horar_sem,prog_ensino,metod_ens,model_aval,sist_apoio_func,lugar_estudos,secretaria,computador,software,impressora,auscultadores,cam_web,mat_escrit,internet,mat_curso,outro_mat,pesq_online,cont_digit,plat_e_online,plat_col_online,plat_com_online,soft_mestudo,def_avanc,alegre,esperanc,orgulhoso,frustrado,zangado,ansioso,enverg,aliviado,sem_espera,aborrecido,saude_fis,saide_ment,quest_est,educ_fut,fin_pess,fam_rel,car_profiss,crise_pandf,lazer,custo_estudos___1,custo_estudos___2,custo_estudos___3,custo_estudos___4,custo_estudos___5,trab_covid19___1,trab_covid19___2,trab_covid19___3,trab_covid19___4,trab_covid19___5,trab_covid_rem___1,trab_covid_rem___2,trab_covid_rem___3,trab_covid_rem___4,trab_covid_rem___5,trab_covid_rem___6,propinas,questionrio_sobre_a_percepo_dos_estudantes_de_medi_complete
131,,6/10/2024 18:29,1,2,242829,6/10/2024,29,1,1,2,2,9,9,1,2,2,6,1,Comerciante,Doméstica ,1,2,2,,5,1,1,1,3,1,2,1,1,3,1,3,2,5,3,5,5,3,1,1,2,2,4,1,1,1,1,2,1,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,4,3,4,5,3,1,1,3,1,,100000,7,Emergências Médicas ,3,4,4,4,4,4,2,5,5,5,3,1,1,3,5,3,3,3,5,5,5,5,5,4,3,4,4,3,1,1,2,1,4,1,1,1,3,4,4,4,4,5,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
132,,6/10/2024 18:31,1,2,2015862,6/10/2024,27,1,1,2,2,5,3,1,5,1,6,1,professor ,professora ,3,3,1,3,5,5,5,1,1,1,1,1,1,5,5,5,5,5,3,5,5,3,4,3,3,2,3,2,3,3,1,1,2,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,4,4,4,4,4,1,1,3,3,,60.000,3,,3,4,4,4,4,4,3,5,1,1,1,1,5,5,5,5,4,5,5,5,5,5,3,4,4,3,3,1,3,2,3,1,1,1,3,2,2,3,3,4,3,4,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2
133,,6/10/2024 18:35,1,2,2016330,6/10/2024,25,1,1,2,2,11,11,1,1,2,6,1,Militar,Enfermeira,5,3,1,2,5,1,5,2,3,2,3,1,1,5,5,4,3,5,1,4,4,3,3,2,2,3,4,3,1,1,1,1,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,5,4,4,4,4,1,1,3,1,,60.000,3,,3,4,4,4,4,6,2,5,5,4,5,1,4,4,5,4,4,4,5,5,4,5,5,4,2,3,4,3,3,3,4,2,1,2,3,2,3,5,4,2,2,4,5,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
134,,[not completed],1,2,2015175,6/10/2024,27,1,1,2,2,11,10,2,1,2,6,1,Contabilista ,Contabilista,4,4,1,3,5,1,5,,1,2,,,,5,,5,3,5,3,5,2,4,1,1,1,1,5,3,1,1,1,2,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,4,4,4,4,4,2,,,3,,120.000,3,,3,4,4,4,6,4,6,5,5,5,5,1,5,1,5,5,5,,4,4,,4,4,4,6,3,4,5,2,1,3,3,,1,1,4,5,4,4,5,5,5,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
135,,6/10/2024 18:38,1,2,20170455,6/10/2024,24,1,1,2,2,11,11,1,1,2,6,1,Falecido ,Empresária ,3,3,1,3,5,3,5,4,5,2,5,5,5,5,5,5,4,5,3,4,3,4,3,2,2,3,4,3,2,2,1,1,2,2,2,1,1,1,1,1,0,1,1,0,1,1,0,0,5,4,5,4,5,1,1,3,1,,75000,7,Reanimação ,3,4,4,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,5,4,4,3,3,3,3,3,3,3,3,3,3,4,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2
136,,6/10/2024 18:39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
137,,6/10/2024 18:39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2
138,,6/10/2024 18:43,1,2,2016371,6/10/2024,26,2,1,2,1,11,11,1,1,2,6,1,Gestão de empresas ,Doméstica ,2,3,1,3,5,4,2,5,5,4,3,1,1,5,1,5,4,5,5,2,5,3,3,4,2,3,5,4,3,2,1,1,2,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0,4,2,5,4,4,1,1,3,2,,60.000,1,,2,4,4,4,4,4,4,5,5,5,5,1,5,5,5,5,4,1,5,5,5,5,3,4,5,4,4,4,1,2,3,1,4,1,2,2,2,1,5,5,3,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
139,,6/10/2024 18:50,1,2,2024,6/10/2024,25,1,1,2,2,11,11,1,1,2,6,1,Economista,Técnica tributária ,5,4,1,3,3,1,3,5,4,1,1,1,1,5,1,4,2,4,4,4,3,4,1,2,1,1,3,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,3,2,4,4,4,1,1,,1,,60.000,3,,3,3,4,4,4,4,4,5,5,5,5,1,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,1,3,1,1,2,3,3,3,3,3,3,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,2
140,,6/10/2024 18:51,1,2,2016338,6/10/2024,26,1,1,2,2,11,11,1,1,2,6,1,Engenheiro agrónomo ,Confeiteira ,3,5,1,3,5,2,5,5,5,5,4,1,2,5,5,5,4,5,4,5,5,5,3,5,4,4,5,5,3,3,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,4,5,5,5,4,2,,3,1,,80000,1,,2,5,5,4,5,5,5,3,5,5,5,3,4,5,5,4,4,3,4,5,3,5,5,5,3,5,5,4,3,2,4,2,3,1,1,2,2,3,3,2,2,5,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
